Date : 2024-03-31 15:15:54
Directory : /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend
Total : 86 files,  8136 codes, 196 comments, 174 blanks, all 8506 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| dist/app/models/account                                                                                                              |          2 |         55 |          3 |          2 |         60 |
| dist/app/models/beneficiary                                                                                                          |          2 |         51 |          0 |          2 |         53 |
| dist/app/models/benificiary                                                                                                          |          1 |         25 |          0 |          1 |         26 |
| dist/app/models/client                                                                                                               |          2 |         52 |          0 |          2 |         54 |
| dist/app/models/consumer                                                                                                             |          1 |         26 |          0 |          1 |         27 |
| dist/app/models/consumer copy                                                                                                        |          1 |         26 |          0 |          1 |         27 |
| dist/app/models/customer                                                                                                             |          2 |         52 |          0 |          2 |         54 |
| dist/app/models/delegate                                                                                                             |          3 |         53 |          0 |          3 |         56 |
| dist/app/models/delegate copy                                                                                                        |          1 |         26 |          0 |          1 |         27 |
| dist/app/models/desginee                                                                                                             |          1 |         26 |          0 |          1 |         27 |
| dist/app/models/inventory                                                                                                            |          4 |         29 |          0 |          4 |         33 |
| dist/app/models/invoice                                                                                                              |          2 |         53 |          2 |          2 |         57 |
| dist/app/models/products                                                                                                             |          1 |         26 |          0 |          1 |         27 |
| dist/app/models/services                                                                                                             |          1 |         26 |          0 |          1 |         27 |
| dist/app/models/template                                                                                                             |          1 |         25 |          0 |          1 |         26 |
| dist/app/models/transaction                                                                                                          |          1 |         35 |          1 |          1 |         37 |
| dist/app/services                                                                                                                    |         13 |        431 |          0 |         13 |        444 |
| src                                                                                                                                  |         18 |        377 |         29 |         96 |        502 |
| src (Files)                                                                                                                          |          2 |         29 |          3 |         19 |         51 |
| src/app                                                                                                                              |         16 |        348 |         26 |         77 |        451 |
| src/app/config                                                                                                                       |          2 |         35 |         12 |         13 |         60 |
| src/app/controllers                                                                                                                  |          2 |         92 |         11 |         20 |        123 |
| src/app/controllers/account                                                                                                          |          1 |         21 |          0 |          8 |         29 |
| src/app/controllers/authorize                                                                                                        |          1 |         71 |         11 |         12 |         94 |
| src/app/middleware                                                                                                                   |          3 |         80 |          0 |         13 |         93 |
| src/app/migrations                                                                                                                   |          1 |         27 |          0 |          1 |         28 |
| src/app/models                                                                                                                       |          3 |         58 |          3 |         11 |         72 |
| src/app/models (Files)                                                                                                               |          1 |          7 |          0 |          6 |         13 |
| src/app/models/account                                                                                                               |          2 |         51 |          3 |          5 |         59 |
| src/app/services                                                                                                                     |          4 |         53 |          0 |         19 |         72 |
| src/app/templates                                                                                                                    |          1 |          3 |          0 |          0 |          3 |
| src/app/templates/school                                                                                                             |          1 |          3 |          0 |          0 |          3 |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                             | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/.env                                                         | Properties         |          7 |         11 |          4 |         22 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/claudia.json                                                 | JSON               |         11 |          0 |          0 |         11 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app.js                                                  | JavaScript         |         69 |          3 |          1 |         73 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/config/auth.config.js                               | JavaScript         |         10 |          0 |          1 |         11 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/config/db.config.js                                 | JavaScript         |         33 |         10 |          1 |         44 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/account/account.controller.js           | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/accounts/accounts.controller.js         | JavaScript         |        159 |          2 |          1 |        162 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/authorize/authorize.controller.js       | JavaScript         |         80 |         11 |          1 |         92 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/clients copy/clients.controller.js      | JavaScript         |         70 |          0 |          1 |         71 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/clients/clients.controller.js           | JavaScript         |         67 |          0 |          1 |         68 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/clients/services.controller.js          | JavaScript         |         70 |          0 |          1 |         71 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/consumers/clients.controller.js         | JavaScript         |         70 |          0 |          1 |         71 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/consumers/consumers.controller.js       | JavaScript         |         67 |          0 |          1 |         68 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/invoices/invoices.controller.js         | JavaScript         |         25 |          2 |          1 |         28 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/marketplace/marketplace.controller.js   | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/produts/products.controller.js          | JavaScript         |         25 |          0 |          1 |         26 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/services copy/services.controller.js    | JavaScript         |         70 |          0 |          1 |         71 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/services/services.controller.js         | JavaScript         |         67 |          0 |          1 |         68 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/templates/templates.controller.js       | JavaScript         |         76 |          0 |          1 |         77 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/transactions/transactions.controller.js | JavaScript         |        135 |          0 |          1 |        136 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/middleware/auth.middleware.js                       | JavaScript         |         49 |          0 |          1 |         50 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/middleware/error-handler.middleware.js              | JavaScript         |         18 |          0 |          1 |         19 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/middleware/validate-request.middleware.js           | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/account/account.model.js                     | JavaScript         |         40 |          3 |          1 |         44 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/account/role.model.js                        | JavaScript         |         15 |          0 |          1 |         16 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/beneficiary/beneficiary.model.js             | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/beneficiary/consumer.model.js                | JavaScript         |         25 |          0 |          1 |         26 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/benificiary/consumer.model.js                | JavaScript         |         25 |          0 |          1 |         26 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/client/client.model.js                       | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/client/designee.model.js                     | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/consumer copy/consumer.model.js              | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/consumer/consumer.model.js                   | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/customer/consumer.model.js                   | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/customer/customer.model.js                   | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/delegate copy/delegate.model.js              | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/delegate/delegate.model.js                   | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/delegate/designee.model.js                   | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/delegate/patron.model.js                     | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/desginee/designee.model.js                   | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/index.models.js                              | JavaScript         |        229 |         37 |          1 |        267 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/inventory/delegate.model.js                  | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/inventory/inventory.model.js                 | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/inventory/patron.model.js                    | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/inventory/payee.model.js                     | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/invoice/invoice-components.model.js          | JavaScript         |         21 |          1 |          1 |         23 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/invoice/invoice.model.js                     | JavaScript         |         32 |          1 |          1 |         34 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/products/product.model.js                    | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/services/service.model.js                    | JavaScript         |         26 |          0 |          1 |         27 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/template/template.model.js                   | JavaScript         |         25 |          0 |          1 |         26 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/models/transaction/transaction.model.js             | JavaScript         |         35 |          1 |          1 |         37 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/accounts.service.js                        | JavaScript         |         14 |          0 |          1 |         15 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/base.service.js                            | JavaScript         |         14 |          0 |          1 |         15 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/clients.service copy.js                    | JavaScript         |         34 |          0 |          1 |         35 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/clients.service.js                         | JavaScript         |         45 |          0 |          1 |         46 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/consumers.service.js                       | JavaScript         |         45 |          0 |          1 |         46 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/invoice.service..js                        | JavaScript         |         47 |          0 |          1 |         48 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/mail.service.js                            | JavaScript         |          1 |          0 |          1 |          2 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/response.service.js                        | JavaScript         |         40 |          0 |          1 |         41 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/services.service copy.js                   | JavaScript         |         34 |          0 |          1 |         35 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/services.service.js                        | JavaScript         |         45 |          0 |          1 |         46 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/templates.service.js                       | JavaScript         |         21 |          0 |          1 |         22 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/token.service.js                           | JavaScript         |         17 |          0 |          1 |         18 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/services/transaction.service.js                     | JavaScript         |         74 |          0 |          1 |         75 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/server.js                                               | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/lambda.js                                                    | JavaScript         |         14 |          0 |          1 |         15 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/package-lock.json                                            | JSON               |      5,193 |          0 |          1 |      5,194 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/package.json                                                 | JSON               |         52 |          0 |          1 |         53 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app.ts                                                   | TypeScript         |         25 |          3 |         18 |         46 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/config/auth.config.ts                                | TypeScript         |          3 |          0 |          1 |          4 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/config/db.config.ts                                  | TypeScript         |         32 |         12 |         12 |         56 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/controllers/account/account.controller.ts            | TypeScript         |         21 |          0 |          8 |         29 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/controllers/authorize/authorize.controller.ts        | TypeScript         |         71 |         11 |         12 |         94 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/middleware/auth.middleware.ts                        | TypeScript         |         38 |          0 |          9 |         47 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/middleware/error-handler.middleware.ts               | TypeScript         |         15 |          0 |          2 |         17 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/middleware/validate-request.middleware.ts            | TypeScript         |         27 |          0 |          2 |         29 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/migrations/20220819114536-create-check.js            | JavaScript         |         27 |          0 |          1 |         28 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/models/account/account.model.ts                      | TypeScript         |         38 |          3 |          3 |         44 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/models/account/role.model.ts                         | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/models/index.models.ts                               | TypeScript         |          7 |          0 |          6 |         13 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/services/base.service.ts                             | TypeScript         |          8 |          0 |          4 |         12 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/services/mail.service.ts                             | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/services/response.service.ts                         | TypeScript         |         35 |          0 |          9 |         44 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/services/token.service.ts                            | TypeScript         |         10 |          0 |          5 |         15 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/app/templates/school/en.json                             | JSON               |          3 |          0 |          0 |          3 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/src/server.ts                                                | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/tsconfig.json                                                | JSON with Comments |         16 |         85 |          9 |        110 |
| Total                                                                                                                                |                    |      8,136 |        196 |        174 |      8,506 |
+--------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
